trans_id,account_id,type,amount,transaction_date,channel,city,state_name
380505,T00673531,A00002301,d,$103.61,01.02.17 04:02:32,c2,Virginia Beach,Virginia
380506,T00155812,A00000521,d,$440.33,01.02.17 04:41:10,c2,Boston,Massachusetts
380507,T00204579,A00000694,d,$120.88,01.02.17 06:37:23,c2,Danbury,Connecticut
380508,T00464540,A00001580,d,$353.99,01.02.17 06:43:26,c4,Lawrence,Massachusetts
380509,T01197483,A00004099,d,$38.85,01.02.17 07:32:10,c3,Houston,Texas
380510,T00380354,A00001292,d,$165.77,01.02.17 07:40:58,c4,Columbus,Ohio
380511,T00760259,A00002593,d,$332.41,01.02.17 08:00:46,c4,Indianapolis,Indiana
380512,T01025797,A00003502,d,$535.31,01.02.17 08:03:40,c1,Chicago,Illinois
380513,T01115132,A00003808,d,$207.22,01.02.17 08:14:04,c2,Bridgeport,Connecticut
380514,T01103893,A00003771,d,$64.76,01.02.17 08:24:49,c5,Virginia Beach,Virginia
380515,T00652342,A00002228,c,$125.19,01.02.17 08:28:03,c2,Little Rock,Arkansas
380516,T00398324,A00001356,c,$43.17,01.02.17 08:39:42,c4,Charleston,South Carolina
380517,T02857663,A00009455,d,$1403.02,01.02.17 08:41:53,c3,New Britain,Connecticut
380518,T00409890,A00001396,c,$610.6,01.02.17 08:51:18,c2,San Diego,California
380519,T00085062,A00000285,d,$124.33,01.02.17 08:53:00,c2,Milwaukee,Wisconsin
380520,T00306342,A00001044,d,$151.1,01.02.17 08:58:17,c2,Las Vegas,Nevada
380521,T00184180,A00000625,d,$297.87,01.02.17 09:04:37,c2,Los Angeles,California
380522,T00571837,A00001945,d,$246.07,01.02.17 09:06:35,c1,Cambridge,Massachusetts
380523,T00969832,A00003305,d,$8.63,01.02.17 09:10:16,c5,Oklahoma City,Oklahoma
380524,T01084183,A00003702,c,$263.34,01.02.17 09:10:49,c4,Hartford,Connecticut
380525,T00603221,A00002052,d,$82.02,01.02.17 09:15:48,c4,Fall River,Massachusetts
380526,T00485949,A00001656,c,$21.58,01.02.17 09:27:42,c3,Charleston,West Virginia
380527,T00807329,A00002750,c,$224.48,01.02.17 09:28:55,c4,Oklahoma City,Oklahoma
380528,T02979460,A00009869,d,$384.21,01.02.17 09:30:08,c5,Portland,Oregon
380529,T01899719,A00006434,c,$1211.52,01.02.17 09:30:21,c3,New York City,New York
380530,T00562485,A00001913,d,$94.97,01.02.17 09:45:50,c2,Worcester,Massachusetts
380531,T00899235,A00003064,c,$578.48,01.02.17 09:50:30,c2,Fargo,North Dakota
